"trial_type","trial_index","time_elapsed","internal_node_id","BASE_QUALTRICS_ID","PUNS_ID","baseline_date","baseline_time","session_day","session_slot","experiment_start","browser","screen_width","screen_height","timezone_offset","view_history","rt","stimulus","response","which_experiment_phase","trial_number","left_word","right_word","valence","left_base_rating","right_base_rating","left_valence","right_valence","abs_diff","participant_response","chosen_side","valid_response"
"html-keyboard-response","30","66461","0.0-2.0-0.14","","9009","2025-11-06","16:46:08.203Z","day68","evening","2026-01-12T02:18:07.677Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","358","632","300","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"html-button-response","31","68912","0.0-2.0-1.14","","9009","2025-11-06","16:46:08.203Z","day68","evening","2026-01-12T02:18:07.677Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","358","632","300","","2447","<div class=""prompt"">Which word describes you more?</div>","0","pairing","15","mess","idiot","NegNeg","41","0","negative","negative","41","mess","left","true"
"html-keyboard-response","32","69716","0.0-2.0-0.15","","9009","2025-11-06","16:46:08.203Z","day68","evening","2026-01-12T02:18:07.677Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","358","632","300","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"html-button-response","33","71049","0.0-2.0-1.15","","9009","2025-11-06","16:46:08.203Z","day68","evening","2026-01-12T02:18:07.677Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","358","632","300","","1330","<div class=""prompt"">Which word describes you more?</div>","1","pairing","16","dull","enthusiastic","PosNeg","37","37","negative","positive","0","enthusiastic","right","true"
"html-keyboard-response","34","71852","0.0-2.0-0.16","","9009","2025-11-06","16:46:08.203Z","day68","evening","2026-01-12T02:18:07.677Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","358","632","300","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"html-button-response","35","73354","0.0-2.0-1.16","","9009","2025-11-06","16:46:08.203Z","day68","evening","2026-01-12T02:18:07.677Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","358","632","300","","1500","<div class=""prompt"">Which word describes you more?</div>","1","pairing","17","helper","admired","PosPos","37","15","positive","positive","22","admired","right","true"
"html-keyboard-response","36","74157","0.0-2.0-0.17","","9009","2025-11-06","16:46:08.203Z","day68","evening","2026-01-12T02:18:07.677Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","358","632","300","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"html-button-response","37","76574","0.0-2.0-1.17","","9009","2025-11-06","16:46:08.203Z","day68","evening","2026-01-12T02:18:07.677Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","358","632","300","","2414","<div class=""prompt"">Which word describes you more?</div>","1","pairing","18","violent","charming","PosNeg","37","37","negative","positive","0","charming","right","true"
"html-keyboard-response","38","77376","0.0-2.0-0.18","","9009","2025-11-06","16:46:08.203Z","day68","evening","2026-01-12T02:18:07.677Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","358","632","300","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"html-button-response","39","78910","0.0-2.0-1.18","","9009","2025-11-06","16:46:08.203Z","day68","evening","2026-01-12T02:18:07.677Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","358","632","300","","1532","<div class=""prompt"">Which word describes you more?</div>","0","pairing","19","learner","idiot","PosNeg","37","0","positive","negative","37","learner","left","true"
"html-keyboard-response","40","79713","0.0-2.0-0.19","","9009","2025-11-06","16:46:08.203Z","day68","evening","2026-01-12T02:18:07.677Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","358","632","300","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"html-button-response","41","81748","0.0-2.0-1.19","","9009","2025-11-06","16:46:08.203Z","day68","evening","2026-01-12T02:18:07.677Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","358","632","300","","2033","<div class=""prompt"">Which word describes you more?</div>","1","pairing","20","special","adventurous","PosPos","37","37","positive","positive","0","adventurous","right","true"
"html-keyboard-response","42","82551","0.0-2.0-0.20","","9009","2025-11-06","16:46:08.203Z","day68","evening","2026-01-12T02:18:07.677Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","358","632","300","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"html-button-response","43","86373","0.0-2.0-1.20","","9009","2025-11-06","16:46:08.203Z","day68","evening","2026-01-12T02:18:07.677Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","358","632","300","","3821","<div class=""prompt"">Which word describes you more?</div>","1","pairing","21","courteous","safe","PosPos","37","56","positive","positive","19","safe","right","true"
"html-keyboard-response","44","87177","0.0-2.0-0.21","","9009","2025-11-06","16:46:08.203Z","day68","evening","2026-01-12T02:18:07.677Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","358","632","300","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"html-button-response","45","89242","0.0-2.0-1.21","","9009","2025-11-06","16:46:08.203Z","day68","evening","2026-01-12T02:18:07.677Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","358","632","300","","2063","<div class=""prompt"">Which word describes you more?</div>","0","pairing","22","affectionate","disgusting","PosNeg","37","9","positive","negative","28","affectionate","left","true"
"html-keyboard-response","46","90045","0.0-2.0-0.22","","9009","2025-11-06","16:46:08.203Z","day68","evening","2026-01-12T02:18:07.677Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","358","632","300","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"html-button-response","47","92514","0.0-2.0-1.22","","9009","2025-11-06","16:46:08.203Z","day68","evening","2026-01-12T02:18:07.677Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","358","632","300","","2467","<div class=""prompt"">Which word describes you more?</div>","1","pairing","23","defective","seeker","PosNeg","49","15","negative","positive","34","seeker","right","true"
"html-keyboard-response","48","93316","0.0-2.0-0.23","","9009","2025-11-06","16:46:08.203Z","day68","evening","2026-01-12T02:18:07.677Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","358","632","300","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"html-button-response","49","95335","0.0-2.0-1.23","","9009","2025-11-06","16:46:08.203Z","day68","evening","2026-01-12T02:18:07.677Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","358","632","300","","2017","<div class=""prompt"">Which word describes you more?</div>","1","pairing","24","pitiful","visionary","PosNeg","15","37","negative","positive","22","visionary","right","true"
"instructions","50","96169","0.0-3.0","","9009","2025-11-06","16:46:08.203Z","day68","evening","2026-01-12T02:18:07.677Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","358","632","300","[{""page_index"":0,""viewing_time"":831}]","831","","","","","","","","","","","","","","",""
