"trial_type","trial_index","time_elapsed","internal_node_id","PUNS_ID","session_number","session_phase","completed_before_this","experiment_start","browser","screen_width","screen_height","timezone_offset","view_history","rt","stimulus","response","which_experiment_phase","trial_number","left_word","right_word","valence","left_base_rating","right_base_rating","left_valence","right_valence","abs_diff","participant_response","chosen_side","valid_response","value"
"html-keyboard-response","10","23883","0.0-2.0-0.4","TESTAP999","1","pre","0","2026-02-05T07:33:47.036Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.2 Mobile/15E148 Safari/604.1","390","699","300","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","",""
"html-button-response","11","24578","0.0-2.0-1.4","TESTAP999","1","pre","0","2026-02-05T07:33:47.036Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.2 Mobile/15E148 Safari/604.1","390","699","300","","694","<div class=""prompt"" style=""font-size:24px; margin-bottom:20px;"">Which word describes you more?</div>","1","pairing","5","talented","annoying","PosNeg","58","26","positive","negative","32","annoying","right","true",""
"html-keyboard-response","12","25381","0.0-2.0-0.5","TESTAP999","1","pre","0","2026-02-05T07:33:47.036Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.2 Mobile/15E148 Safari/604.1","390","699","300","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","",""
"html-button-response","13","26117","0.0-2.0-1.5","TESTAP999","1","pre","0","2026-02-05T07:33:47.036Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.2 Mobile/15E148 Safari/604.1","390","699","300","","733","<div class=""prompt"" style=""font-size:24px; margin-bottom:20px;"">Which word describes you more?</div>","0","pairing","6","annoying","resourceful","PosNeg","26","58","negative","positive","32","annoying","left","true",""
"html-keyboard-response","14","26920","0.0-2.0-0.6","TESTAP999","1","pre","0","2026-02-05T07:33:47.036Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.2 Mobile/15E148 Safari/604.1","390","699","300","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","",""
"html-button-response","15","27721","0.0-2.0-1.6","TESTAP999","1","pre","0","2026-02-05T07:33:47.036Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.2 Mobile/15E148 Safari/604.1","390","699","300","","797","<div class=""prompt"" style=""font-size:24px; margin-bottom:20px;"">Which word describes you more?</div>","1","pairing","7","untrustworthy","disloyal","NegNeg","58","58","negative","negative","0","disloyal","right","true",""
"html-keyboard-response","16","28524","0.0-2.0-0.7","TESTAP999","1","pre","0","2026-02-05T07:33:47.036Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.2 Mobile/15E148 Safari/604.1","390","699","300","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","",""
"html-button-response","17","29238","0.0-2.0-1.7","TESTAP999","1","pre","0","2026-02-05T07:33:47.036Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.2 Mobile/15E148 Safari/604.1","390","699","300","","711","<div class=""prompt"" style=""font-size:24px; margin-bottom:20px;"">Which word describes you more?</div>","0","pairing","8","committed","delight","PosPos","58","58","positive","positive","0","committed","left","true",""
"html-keyboard-response","18","30041","0.0-2.0-0.8","TESTAP999","1","pre","0","2026-02-05T07:33:47.036Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.2 Mobile/15E148 Safari/604.1","390","699","300","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","",""
"html-button-response","19","30926","0.0-2.0-1.8","TESTAP999","1","pre","0","2026-02-05T07:33:47.036Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.2 Mobile/15E148 Safari/604.1","390","699","300","","881","<div class=""prompt"" style=""font-size:24px; margin-bottom:20px;"">Which word describes you more?</div>","1","pairing","9","creative","jerk","PosNeg","58","58","positive","negative","0","jerk","right","true",""
