"trial_type","trial_index","time_elapsed","internal_node_id","PUNS_ID","session_number","session_phase","completed_before_this","experiment_start","browser","screen_width","screen_height","timezone_offset","view_history","rt","stimulus","response","which_experiment_phase","trial_number","left_word","right_word","valence","left_base_rating","right_base_rating","left_valence","right_valence","abs_diff","participant_response","chosen_side","valid_response","value"
"html-keyboard-response","18","22863","0.0-2.0-0.8","9005","1","pre","0","2026-02-05T07:53:52.772Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","358","632","300","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","",""
"html-button-response","19","23476","0.0-2.0-1.8","9005","1","pre","0","2026-02-05T07:53:52.772Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","358","632","300","","610","<div class=""prompt"" style=""font-size:24px; margin-bottom:20px;"">Which word describes you more?</div>","0","pairing","9","asset","distressed","PosNeg","69","24","positive","negative","45","asset","left","true",""
"html-keyboard-response","20","24278","0.0-2.0-0.9","9005","1","pre","0","2026-02-05T07:53:52.772Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","358","632","300","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","",""
"html-button-response","21","24744","0.0-2.0-1.9","9005","1","pre","0","2026-02-05T07:53:52.772Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","358","632","300","","463","<div class=""prompt"" style=""font-size:24px; margin-bottom:20px;"">Which word describes you more?</div>","1","pairing","10","loser","awful","NegNeg","15","24","negative","negative","9","awful","right","true",""
"html-keyboard-response","22","25546","0.0-2.0-0.10","9005","1","pre","0","2026-02-05T07:53:52.772Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","358","632","300","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","",""
"html-button-response","23","25978","0.0-2.0-1.10","9005","1","pre","0","2026-02-05T07:53:52.772Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","358","632","300","","429","<div class=""prompt"" style=""font-size:24px; margin-bottom:20px;"">Which word describes you more?</div>","1","pairing","11","confident","spirited","PosPos","15","37","positive","positive","22","spirited","right","true",""
"html-keyboard-response","24","26782","0.0-2.0-0.11","9005","1","pre","0","2026-02-05T07:53:52.772Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","358","632","300","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","",""
"html-button-response","25","27176","0.0-2.0-1.11","9005","1","pre","0","2026-02-05T07:53:52.772Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","358","632","300","","392","<div class=""prompt"" style=""font-size:24px; margin-bottom:20px;"">Which word describes you more?</div>","0","pairing","12","untrustworthy","defective","NegNeg","69","24","negative","negative","45","untrustworthy","left","true",""
"html-keyboard-response","26","27979","0.0-2.0-0.12","9005","1","pre","0","2026-02-05T07:53:52.772Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","358","632","300","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","",""
"html-button-response","27","28323","0.0-2.0-1.12","9005","1","pre","0","2026-02-05T07:53:52.772Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","358","632","300","","342","<div class=""prompt"" style=""font-size:24px; margin-bottom:20px;"">Which word describes you more?</div>","0","pairing","13","loser","carefree","PosNeg","15","37","negative","positive","22","loser","left","true",""
"html-keyboard-response","28","29125","0.0-2.0-0.13","9005","1","pre","0","2026-02-05T07:53:52.772Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","358","632","300","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","",""
"html-button-response","29","29533","0.0-2.0-1.13","9005","1","pre","0","2026-02-05T07:53:52.772Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","358","632","300","","405","<div class=""prompt"" style=""font-size:24px; margin-bottom:20px;"">Which word describes you more?</div>","1","pairing","14","cruel","gloomy","NegNeg","24","69","negative","negative","45","gloomy","right","true",""
"html-keyboard-response","30","30335","0.0-2.0-0.14","9005","1","pre","0","2026-02-05T07:53:52.772Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","358","632","300","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","",""
